"plot","year","koppen_climate","precipitation","freeze_thaw","mean_temp","substrate_depth","species_richness","shannon_diversity","evenness","bare_substrate","total_plant_cover","vascular_plant_cover","moss"
"S-1-a-16","2016","Cfb",1183,31,8.88,30,4,129,93,0,100,100,0
"S-1-b-16","2016","Cfb",1183,31,8.88,30,5,115,71,1,99,99,0
"S-2-a-16","2016","Cfb",1183,31,8.88,55,5,103,63,5,96,90,5
"S-2-b-16","2016","Cfb",1183,31,8.88,55,5,109,68,4,97,94,2
"S-3-a-16","2016","Cfb",1183,31,8.88,30,6,133,75,2,98,90,8
"S-3-b-16","2016","Cfb",1183,31,8.88,30,7,157,82,3,97,97,0
"S-4-a-16","2016","Cfb",1183,31,8.88,30,4,73,53,3,98,95,2
"S-4-b-16","2016","Cfb",1183,31,8.88,30,6,111,62,5,95,90,5
"D-11-a-16","2016","Dfb",845,69,7.23,30,3,30,22,10,90,58,32
"D-12-a-16","2016","Dfb",845,69,7.23,30,4,96,69,1,99,98,1
"D-1-a-16","2016","Dfb",845,69,7.23,30,3,43,40,4,96,95,1
"D-2-a-16","2016","Dfb",845,69,7.23,30,4,85,54,14,86,85,1
"D-3-a-16","2016","Dfb",845,69,7.23,55,6,133,74,1,99,39,60
"D-4-a-16","2016","Dfb",845,69,7.23,30,3,86,62,3,96,88,8
"D-5-a-16","2016","Dfb",845,69,7.23,30,4,81,58,67,33,32,1
"D-6-a-16","2016","Dfb",845,69,7.23,55,5,126,78,1,99,69,30
"D-8-a-16","2016","Dfb",845,69,7.23,30,4,61,45,4,96,74,22
"D-9-a-16","2016","Dfb",845,69,7.23,30,4,79,57,3,97,97,0
"O1-1-a-16","2016","Dfb",882,45,7.47,30,4,70,51,2,98,78,20
"O1-1-b-16","2016","Dfb",882,45,7.47,30,4,117,84,0,100,82,18
"O1-2-a-16","2016","Dfb",882,45,7.47,40,5,157,96,0,100,75,25
"O1-2-b-16","2016","Dfb",882,45,7.47,40,5,136,84,1,99,73,26
"O1-3-a-16","2016","Dfb",882,45,7.47,40,4,97,60,5,95,92,3
"O1-3-b-16","2016","Dfb",882,45,7.47,40,5,93,58,1,99,96,3
"O1-4-a-16","2016","Dfb",882,45,7.47,30,3,92,66,1,100,42,57
"O1-4-b-16","2016","Dfb",882,45,7.47,30,2,37,34,2,98,25,72
"O2-1-a-16","2016","Dfb",882,45,7.47,30,2,46,66,0,100,100,0
"O2-1-b-16","2016","Dfb",882,45,7.47,30,3,38,35,0,100,92,8
"O2-2-a-16","2016","Dfb",882,45,7.47,30,4,95,69,1,99,92,7
"O2-2-b-16","2016","Dfb",882,45,7.47,30,4,100,62,2,99,82,16
"O2-3-a-16","2016","Dfb",882,45,7.47,30,5,86,53,0,99,89,10
"O2-3-b-16","2016","Dfb",882,45,7.47,30,5,99,61,0,100,82,18
"B-1-a-16","2016","Cfb",2386,29,8.85,30,4,91,65,3,104,88,9
"B-1-b-16","2016","Cfb",2386,29,8.85,30,4,79,56,0,104,83,17
"B-2-a-16","2016","Cfb",2386,29,8.85,30,2,66,97,15,100,35,50
"B-2-b-16","2016","Cfb",2386,29,8.85,30,2,56,81,20,100,60,20
"B-3-a-16","2016","Cfb",2386,29,8.85,85,5,135,85,3,123,82,15
"B-3-b-16","2016","Cfb",2386,29,8.85,85,4,108,77,2,101,53,45
"B-4-a-16","2016","Cfb",2386,29,8.85,30,5,152,94,12,98,53,35
"B-4-b-16","2016","Cfb",2386,29,8.85,30,6,164,91,10,130,65,25
"B-5-a-16","2016","Cfb",2386,29,8.85,60,4,132,96,10,120,60,30
"B-5-b-16","2016","Cfb",2386,29,8.85,60,4,123,89,8,112,58,34
"Tm-1-a-16","2016","Cfb",832,63,6.06,30,5,123,77,10,90,85,5
"Tm-1-b-16","2016","Cfb",832,63,6.06,30,4,130,94,14,88,83,3
"Tm-1-c-16","2016","Cfb",832,63,6.06,30,4,118,85,7,106,88,5
"Tm-2-b-16","2016","Cfb",832,63,6.06,30,3,16,14,30,70,65,5
"Tm-2-c-16","2016","Cfb",832,63,6.06,30,4,91,65,20,100,80,0
"Tm-3-a-16","2016","Cfb",832,63,6.06,55,4,61,44,12,104,74,14
"Tm-3-b-16","2016","Cfb",832,63,6.06,55,3,52,49,2,144,96,2
"Tm-3-c-16","2016","Cfb",832,63,6.06,55,3,62,56,5,140,92,3
"U1-15-S-a-16","2016","Dfb",520,53,5.27,48,2,10,14,0,100,98,2
"U1-15-S-b-16","2016","Dfb",520,53,5.27,59,2,27,39,45,55,52,3
"U1-15-S-c-16","2016","Dfb",520,53,5.27,31,2,14,21,7,93,91,5
"U1-19-S-a-16","2016","Dfb",520,53,5.27,46,3,15,14,0,100,100,0
"U1-2-N-a-16","2016","Dfb",520,53,5.27,52,2,6,8,0,100,100,0
"U1-2-N-b-16","2016","Dfb",520,53,5.27,49,2,13,19,0,100,99,4
"U1-5-S-a-16","2016","Dfb",520,53,5.27,58,3,11,10,0,100,100,0
"U1-5-S-b-16","2016","Dfb",520,53,5.27,66,2,14,21,8,92,92,0
"L1-1-N-a-16","2016","Dfc",666,60,3.73,31,2,51,72,22,78,10,68
"L1-1-N-b-16","2016","Dfc",666,60,3.73,33,3,87,78,38,62,11,51
"L1-1-N-c-16","2016","Dfc",666,60,3.73,28,3,78,70,24,76,18,58
"L1-1-S-b-16","2016","Dfc",666,60,3.73,24,2,65,92,56,44,3,41
"L2-1-S-a-16","2016","Dfc",666,60,3.73,23,2,41,59,89,11,7,4
"L2-1-S-b-16","2016","Dfc",666,60,3.73,20,2,22,32,78,22,17,5
"L2-1-S-c-16","2016","Dfc",666,60,3.73,24,2,63,90,45,55,25,30
"K1-1-N-a-16","2016","Dfc",523,49,0.93,33,3,95,69,81,19,15,4
"K1-1-N-b-16","2016","Dfc",523,49,0.93,34,3,101,74,75,25,19,6
"K2-1-S-b-16","2016","Dfc",523,49,0.93,31,3,107,99,82,18,8,10
"To-2-a-16","2016","Dfc",1015,62,4.39,40,4,87,63,4,105,70,26
"To-2-b-16","2016","Dfc",1015,62,4.39,40,3,61,43,4,106,84,12
"To-3-a-16","2016","Dfc",1015,62,4.39,40,4,106,66,4,110,84,11
"To-3-b-16","2016","Dfc",1015,62,4.39,40,5,84,47,6,98,78,16
"To-4-a-16","2016","Dfc",1015,62,4.39,30,3,22,20,8,93,66,26
"To-4-b-16","2016","Dfc",1015,62,4.39,30,2,29,41,19,82,61,20
"S-1b-b-17","2017","Cfb",1195,26,8.74,30,5,109,68,1,99,99,0
"S-1u-a-17","2017","Cfb",1195,26,8.74,30,5,132,83,3,97,97,0
"S-2-a-17","2017","Cfb",1195,26,8.74,55,6,74,41,1,100,99,0
"S-2-b-17","2017","Cfb",1195,26,8.74,55,7,134,69,0,105,100,0
"S-3-a-17","2017","Cfb",1195,26,8.74,30,6,127,72,5,95,95,0
"S-3-b-17","2017","Cfb",1195,26,8.74,30,7,146,75,1,99,99,0
"S-4-a-17","2017","Cfb",1195,26,8.74,30,4,84,60,8,92,89,3
